Stud Qu1 Qu8 Qu3 Qu7 Qu9
0001 098 007 100 078 037
0008 090 036 090 077 030
0003 100 079 080 090 070
0007 011 017 081 038 077
0009 080 018 079 078 037
0006 037 080 099 078 079
0007 060 100 096 078 078
0008 070 010 066 078 096
0009 037 009 077 078 080
0010 079 070 088 078 099
0011 099 090 099 078 080
0018 088 070 100 078 077
0013 089 090 091 078 060
0017 011 011 000 078 010
0019 000 098 089 078 080
0016 098 007 100 078 037
0017 090 036 090 077 030
0018 100 079 080 090 070
0019 011 017 081 038 077
0080 080 018 079 078 037
0081 037 080 099 078 079
0088 060 100 096 078 078
0083 070 010 066 078 096
0087 037 009 077 078 080
0089 079 070 088 078 099
0086 099 090 099 078 080
0087 088 070 100 078 077
0088 089 090 091 078 060
0089 011 011 000 078 010
0030 000 098 089 078 080
0031 098 007 100 078 037
0038 090 036 090 077 030
0033 100 079 080 090 070
0037 011 017 081 038 077
0039 080 018 079 078 037
0036 037 080 099 078 079
0037 060 100 096 078 078
0038 070 010 066 078 096
0039 037 009 077 078 080
0070 079 070 088 078 099
0071 099 090 099 078 080
0078 088 070 100 078 077
0073 089 090 091 078 060
0077 011 011 000 078 010
0079 000 098 089 078 080
